clase,variable,categoria,pct
3,RANGO_EDAD,20 a 35 años,30.4
3,RANGO_EDAD,36 a 45 años,28.82
3,RANGO_EDAD,46 a 55 años,23.39
3,RANGO_EDAD,Mayor de 55 años,17.29
3,RANGO_EDAD,Menor de 19 años,0.1
4,RANGO_EDAD,46 a 55 años,46.63
4,RANGO_EDAD,36 a 45 años,32.1
4,RANGO_EDAD,Mayor de 55 años,21.26
4,RANGO_EDAD,20 a 35 años,0.0
5,RANGO_EDAD,20 a 35 años,58.51
5,RANGO_EDAD,36 a 45 años,18.25
5,RANGO_EDAD,Menor de 19 años,10.35
5,RANGO_EDAD,46 a 55 años,8.64
5,RANGO_EDAD,Mayor de 55 años,4.24
6,RANGO_EDAD,36 a 45 años,40.61
6,RANGO_EDAD,20 a 35 años,28.2
6,RANGO_EDAD,46 a 55 años,26.56
6,RANGO_EDAD,Mayor de 55 años,4.63
7,RANGO_EDAD,20 a 35 años,85.59
7,RANGO_EDAD,36 a 45 años,11.51
7,RANGO_EDAD,Menor de 19 años,2.91
8,RANGO_EDAD,20 a 35 años,84.43
8,RANGO_EDAD,36 a 45 años,14.13
8,RANGO_EDAD,Menor de 19 años,1.43
8,RANGO_EDAD,Mayor de 55 años,0.0
8,RANGO_EDAD,46 a 55 años,0.0
9,RANGO_EDAD,36 a 45 años,39.16
9,RANGO_EDAD,46 a 55 años,27.06
9,RANGO_EDAD,20 a 35 años,19.77
9,RANGO_EDAD,Mayor de 55 años,14.0
9,RANGO_EDAD,Menor de 19 años,0.0
10,RANGO_EDAD,Mayor de 55 años,95.42
10,RANGO_EDAD,46 a 55 años,4.55
10,RANGO_EDAD,36 a 45 años,0.03
10,RANGO_EDAD,Menor de 19 años,0.0
11,RANGO_EDAD,20 a 35 años,47.02
11,RANGO_EDAD,36 a 45 años,44.99
11,RANGO_EDAD,46 a 55 años,7.97
11,RANGO_EDAD,Menor de 19 años,0.02
11,RANGO_EDAD,Mayor de 55 años,0.0
0,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL,55.59
0,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,28.44
0,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR INTEGRAL,11.21
0,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL AMPLIADA,3.07
0,SEGMENTO_GRUPO_FAMILIAR,PAREJA CONYUGAL,1.56
0,SEGMENTO_GRUPO_FAMILIAR,Sin dato,0.12
0,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR AMPLIADA,0.01
1,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,100.0
2,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,92.46
2,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL,6.93
2,SEGMENTO_GRUPO_FAMILIAR,Sin dato,0.54
2,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL AMPLIADA,0.05
2,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR INTEGRAL,0.01
2,SEGMENTO_GRUPO_FAMILIAR,PAREJA CONYUGAL,0.01
2,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR AMPLIADA,0.0
3,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,45.85
3,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL,20.7
3,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR INTEGRAL,20.33
3,SEGMENTO_GRUPO_FAMILIAR,PAREJA CONYUGAL,11.73
3,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL AMPLIADA,1.39
3,SEGMENTO_GRUPO_FAMILIAR,Sin dato,0.01
4,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,54.41
4,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR INTEGRAL,20.51
4,SEGMENTO_GRUPO_FAMILIAR,PAREJA CONYUGAL,13.22
4,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL,9.74
4,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL AMPLIADA,2.04
4,SEGMENTO_GRUPO_FAMILIAR,Sin dato,0.07
4,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR AMPLIADA,0.01
5,SEGMENTO_GRUPO_FAMILIAR,Sin dato,100.0
6,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,36.65
6,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL,34.99
6,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR INTEGRAL,22.49
6,SEGMENTO_GRUPO_FAMILIAR,PAREJA CONYUGAL,3.33
6,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL AMPLIADA,2.31
6,SEGMENTO_GRUPO_FAMILIAR,Sin dato,0.21
6,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR AMPLIADA,0.01
7,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,94.38
7,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL,5.37
7,SEGMENTO_GRUPO_FAMILIAR,Sin dato,0.25
7,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR AMPLIADA,0.0
8,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,99.66
8,SEGMENTO_GRUPO_FAMILIAR,Sin dato,0.34
9,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL,38.34
9,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,27.75
9,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR INTEGRAL,18.47
9,SEGMENTO_GRUPO_FAMILIAR,PAREJA CONYUGAL,9.63
9,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL AMPLIADA,5.77
9,SEGMENTO_GRUPO_FAMILIAR,Sin dato,0.02
9,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR AMPLIADA,0.01
10,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,65.21
10,SEGMENTO_GRUPO_FAMILIAR,PAREJA CONYUGAL,31.13
10,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR INTEGRAL,1.5
10,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL AMPLIADA,1.49
10,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL,0.66
10,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR AMPLIADA,0.0
11,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL,78.13
11,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR INTEGRAL,10.46
11,SEGMENTO_GRUPO_FAMILIAR,FAMILIA MONOPARENTAL AMPLIADA,8.55
11,SEGMENTO_GRUPO_FAMILIAR,PAREJA CONYUGAL,2.85
11,SEGMENTO_GRUPO_FAMILIAR,FAMILIA NUCLEAR AMPLIADA,0.01
11,SEGMENTO_GRUPO_FAMILIAR,AFILLIADO SIN GRUPO_FAMILIAR,0.01
11,SEGMENTO_GRUPO_FAMILIAR,Sin dato,0.0
